mean,day,pstd
0,3,0
0,4,0
0,5,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,50,0
0,51,0
0,52,0
0,53,0
0,54,0
0,57,0
0,58,0
0,59,0
0,60,0
0,61,0
0,64,0
0,65,0
0,66,0
0,67,0
0,68,0
0,71,0
0,72,0
0,73,0
0,74,0
0,75,0
0,78,0
0,79,0
0,80,0
0,81,0
0,82,0
0,85,0
0,86,0
0,87,0
0,88,0
0,89,0
-0.000258739676626231,92,0.00305470373956004
0.00036142232969179,93,0.00346341892485478
0.00116515701264431,94,0.00369321742450376
0.00206060299764369,95,0.00381306465888824
0.00299218993337129,96,0.00387101543232024
0.0057848428994992,99,0.00398545692045344
0.00668817925290509,100,0.00402636623869088
0.00756959148709107,101,0.0040705714889293
0.0084323975251216,102,0.00412128418274245
0.00927870993987741,103,0.00417835054309826
0.0117132142246072,106,0.00437517499923061
0.0124896659061405,107,0.00444817077128193
0.0132469555363124,108,0.00452303916185444
0.0139870764176818,109,0.00460280172514877
0.0147108287704796,110,0.00468910698924384
0.0167854066244823,113,0.00498615939990987
0.0174452255984037,114,0.00509633673114351
0.0180893936290433,115,0.00527169388949335
0.0187174745833187,116,0.00532484353871636
0.0193289959884244,117,0.00544087649770983
0.0210598094444383,120,0.00578038457388771
0.0216016573284843,121,0.0058874884767322
0.0221254742242686,122,0.00599024599535265
0.0226311536667627,123,0.00608814631259661
0.0231187572787604,124,0.00618092830375151
0.0244704528790958,127,0.00642303393042817
0.0248835972573441,128,0.00649061002349076
0.0252779040861138,129,0.00655124670006934
0.0256532768204237,130,0.0066047538425371
0.0260096831398429,131,0.00665104856490627
0.0269657451168464,134,0.00674734025621111
0.0272472467076,135,0.00676593721970341
0.02751057936071,136,0.00677834938114152
0.027756089546526,137,0.00678503375442928
0.0279841830752453,138,0.00678651656663749
0.0285688703587598,141,0.00676588690525772
0.0287324700923609,142,0.0068089163335081
0.0288814960728663,143,0.0067945445729729
0.0290166602607768,144,0.00672221341851031
0.0291387146150339,145,0.00676327119260799
0.0294342551320624,148,0.00666204667324396
0.0295120490080485,149,0.00665112832015079
0.0295809489558087,150,0.00664295825416441
0.0296418576119021,151,0.00663794875262482
0.0296956860291004,152,0.00663641910906026
0.0298238181246873,155,0.00665442328803591
0.029858423084102,156,0.00672867762063299
0.0298904473596313,157,0.0066852724685823
0.0299207430171609,158,0.00670590109023256
0.0299501341267479,159,0.00672963839990617
0.0300405981443246,162,0.00681614734033088
0.0300738823215262,163,0.00690949888462957
0.030109795731947,164,0.0068831568901433
0.0301488976778637,165,0.0069185864005409
0.0301916896106579,166,0.00695504419856349
0.0303462910480412,169,0.00707023983802215
0.0304076025016649,170,0.00711100340319309
0.0304741513335469,171,0.00715345675205646
0.0305460426053573,172,0.00719808651678226
0.0306233112194487,173,0.00730485875019201
0.0308866828145379,176,0.00741200650850376
0.0309844195314617,177,0.00747853931369393
0.0310866752511565,178,0.00755218193347105
0.0311930822116475,179,0.00763391150285686
0.0313032128703405,180,0.00772467647735677
0.0316508451920117,183,0.00805958114572061
0.0317705200707283,184,0.00819431802857419
0.0318910094699988,185,0.00834135211453608
0.0320116068116877,186,0.008500871490197
0.0321315749958894,187,0.00867287735854821
0.0324799840981071,190,0.00926103998021536
0.032589635629865,191,0.00947934864765496
0.0326946971578225,192,0.00970750424141238
