nan,nan,nan,nan,nan,nan,nan,0.196180,0.306390,0.244111,0.235489,0.238101,nan,nan,0.174464,0.214316,0.213664,0.203340,0.229627,nan,nan,0.209829,0.214805,0.259256,0.287976,0.275934,nan,nan,0.161100,0.183959,0.214935,0.151860,0.215758,nan,nan,0.180349,0.166673,0.259373,0.213190,0.207953,nan,nan,0.208112,0.192332,0.256315,0.217155,0.208282,nan,nan,0.159561,0.169880,0.227539,0.136870,0.224307,nan,nan,0.187053,0.181778,0.212036,0.142792,0.162625,nan,nan,0.168056,0.206094,0.218820,0.236194,0.188041,nan,nan,0.207326,0.234114,0.231446,0.257198,0.232148,nan,nan,0.136661,0.218222,0.206099,0.167591,0.131736,nan,nan,0.101008,0.096117,0.201033,0.121247,0.096806,nan,nan,0.174006,0.156227,0.166507,0.177082,0.131772,nan,nan,0.061702,0.122508,0.213939,0.180711,0.203179,nan,nan,0.124664,0.196717,0.225415,0.164659,0.200574,nan,nan,0.204452,0.278577,0.197487,0.195132,0.111931,nan,nan,0.088274,0.113462,0.153346,0.174337,0.109997,nan,nan,0.152267,0.143811,0.184249,0.199600,0.131263,nan,nan,0.131389,0.199752,0.251610,0.184366,0.185592,nan,nan,0.153215,0.186050,0.244789,0.203719,0.215966,nan,nan,0.171237,0.229035,0.167647,0.208524,0.171960,nan,nan,0.135745,0.174863,0.229175,0.251989,0.196565,nan,nan,0.132645,0.239485,0.237864,0.276294,0.278540,nan,nan,0.222942,0.207185,0.247112,0.163291,0.144937,nan,nan,0.202760,0.266662,0.224367,0.236107,0.229119,nan,nan,0.254626,0.229904,0.204485,0.186949,0.201271,nan,nan,0.154497,0.176224,0.218429
nan,nan,nan,nan,nan,nan,nan,0.140765,0.274123,0.140580,0.172878,0.173882,nan,nan,0.141382,0.166413,0.095265,0.105384,0.148337,nan,nan,0.166626,0.170257,0.163108,0.174251,0.125396,nan,nan,0.068100,0.107599,0.176507,0.170375,0.167764,nan,nan,0.106277,0.105179,0.118046,0.138556,0.137397,nan,nan,0.099018,0.145463,0.145737,0.126697,0.197808,nan,nan,0.135699,0.158475,0.196951,0.118188,0.151844,nan,nan,0.125664,0.119140,0.202771,0.173367,0.118864,nan,nan,0.145899,0.127796,0.145035,0.182967,0.149719,nan,nan,0.140241,0.137602,0.132007,0.112157,0.143033,nan,nan,0.161951,0.146350,0.127801,0.141882,0.102158,nan,nan,0.159269,0.131805,0.029157,0.030550,0.055271,nan,nan,0.111808,0.095163,0.097458,0.090365,0.103911,nan,nan,0.099392,0.077213,0.091954,0.080575,0.165135,nan,nan,0.156991,0.143773,0.112979,0.119970,0.099486,nan,nan,0.213687,0.165757,0.133553,0.072885,0.072850,nan,nan,0.084517,0.064068,0.104498,0.117161,0.094828,nan,nan,0.062840,0.097871,0.048571,0.088588,0.112898,nan,nan,0.087590,0.148754,0.147215,0.099177,0.082934,nan,nan,0.129455,0.137106,0.111378,0.120904,0.139182,nan,nan,0.183995,0.167133,0.076871,0.151842,0.153494,nan,nan,0.104919,0.096130,0.151420,0.121694,0.139287,nan,nan,0.132607,0.150425,0.134276,0.135632,0.092872,nan,nan,0.141692,0.122732,0.114176,0.077988,0.130490,nan,nan,0.135718,0.165455,0.225982,0.238479,0.196906,nan,nan,0.133088,0.182622,0.199932,0.158438,0.136235,nan,nan,0.122519,0.103298,0.134167
nan,nan,nan,nan,nan,nan,nan,0.157885,0.260777,0.136715,0.185703,0.164606,nan,nan,0.144853,0.171882,0.112125,0.105301,0.146839,nan,nan,0.162420,0.180200,0.172107,0.176352,0.131863,nan,nan,0.074892,0.110786,0.164577,0.173266,0.146348,nan,nan,0.112506,0.110993,0.111894,0.138530,0.129582,nan,nan,0.092223,0.141561,0.135700,0.132354,0.158344,nan,nan,0.128810,0.157103,0.215960,0.103459,0.151391,nan,nan,0.135622,0.119309,0.174027,0.188971,0.105836,nan,nan,0.147572,0.119113,0.161908,0.172545,0.147108,nan,nan,0.143821,0.148155,0.140725,0.119394,0.142999,nan,nan,0.238052,0.141807,0.138332,0.133562,0.123398,nan,nan,0.152715,0.133624,0.070657,0.036665,0.056675,nan,nan,0.105912,0.101452,0.088841,0.091490,0.099242,nan,nan,0.094004,0.079438,0.105153,0.087693,0.153330,nan,nan,0.145597,0.137474,0.104687,0.112245,0.116142,nan,nan,0.173938,0.158249,0.131217,0.083624,0.069614,nan,nan,0.077725,0.065059,0.109708,0.134122,0.082521,nan,nan,0.063668,0.089941,0.067216,0.119672,0.125254,nan,nan,0.094374,0.137500,0.133660,0.105473,0.091969,nan,nan,0.118404,0.148016,0.101206,0.132403,0.124815,nan,nan,0.198135,0.141958,0.086979,0.143123,0.156405,nan,nan,0.115164,0.095464,0.153237,0.116217,0.139263,nan,nan,0.144367,0.144219,0.132359,0.135833,0.093929,nan,nan,0.138071,0.123431,0.114428,0.092909,0.126934,nan,nan,0.137884,0.165833,0.221510,0.233532,0.190778,nan,nan,0.158158,0.173081,0.206415,0.156113,0.121039,nan,nan,0.116527,0.113449,0.140075
nan,0.003572,0.282616,0.304705,0.315033,nan,nan,0.145821,0.208463,0.204599,0.166791,0.175529,nan,nan,0.127270,0.156697,0.238249,0.232955,0.247868,nan,nan,0.202982,0.219382,0.208004,0.205524,0.146776,nan,nan,0.096657,0.168071,0.199623,0.135711,0.116511,nan,nan,0.113504,0.158579,0.132233,0.162644,0.102826,nan,nan,0.146564,0.185883,0.280263,0.198828,0.129990,nan,nan,0.125552,0.143327,0.218127,0.129329,0.148877,nan,nan,0.161360,0.080809,0.117721,0.073052,0.078009,nan,nan,0.084411,0.084667,0.137173,0.123748,0.091009,nan,nan,0.143169,0.173920,0.192172,0.148701,0.063581,nan,nan,0.067708,0.130588,0.187603,0.135374,0.107194,nan,nan,0.097563,0.032520,0.104437,0.059467,0.042843,nan,nan,0.080659,0.086783,0.062246,0.106971,0.075249,nan,nan,0.113933,0.070149,0.088271,0.163338,0.106966,nan,nan,0.148235,0.131669,0.148523,0.113199,0.174479,nan,nan,0.238718,0.165891,0.138777,0.130162,0.083276,nan,nan,0.118022,0.130395,0.122873,0.147750,0.132659,nan,nan,0.107504,0.125151,0.090399,0.161423,0.120115,nan,nan,0.117386,0.143271,0.153043,0.132362,0.189172,nan,nan,0.146463,0.164607,0.203189,0.178987,0.149600,nan,nan,0.161720,0.158530,0.147990,0.180576,0.166123,nan,nan,0.152217,0.155664,0.207275,0.160287,0.169483,nan,nan,0.150493,0.201597,0.189514,0.210544,0.162749,nan,nan,0.165087,0.176202,0.220771,0.125062,0.053853,nan,nan,0.221554,0.254089,0.203085,0.189723,0.156454,nan,nan,0.251109,0.185430,0.193843,0.132864,0.136372,nan,nan,0.127605,0.191834,0.190444
0.028564,nan,0.130298,0.155937,0.151810,nan,nan,0.054001,nan,0.043751,0.091920,0.097802,nan,nan,0.115961,0.102992,0.046228,0.059217,0.083280,nan,nan,0.096379,0.096729,0.097879,0.113966,0.085892,nan,nan,0.039637,0.038676,0.104723,0.083099,0.074099,nan,nan,0.079578,0.114044,0.051734,0.055901,0.077819,nan,nan,0.087519,0.111322,0.107908,0.076911,0.091602,nan,nan,0.085639,0.143962,0.102187,0.060088,0.064933,nan,nan,0.165500,0.085637,0.071734,0.108635,0.120204,nan,nan,0.074577,0.075147,0.069739,0.067250,0.091065,nan,nan,0.104278,0.107409,0.067754,0.096303,0.058886,nan,nan,0.092725,0.088926,0.085427,0.051230,0.030046,nan,nan,0.020634,0.022464,0.061262,0.052021,0.082545,nan,nan,0.130702,0.154999,0.098786,0.040974,0.043500,nan,nan,0.065518,0.035890,0.081054,0.084682,0.084714,nan,nan,0.084171,0.078159,0.052434,0.101223,0.060553,nan,nan,0.104312,0.069316,0.068449,0.056136,0.085922,nan,nan,0.066315,0.087279,0.060167,0.109769,0.070832,nan,nan,0.044453,0.038589,0.051224,0.049517,0.094062,nan,nan,0.040345,0.061603,0.046969,0.073085,0.087527,nan,nan,0.150278,0.076620,0.083660,0.102225,0.057178,nan,nan,0.085866,0.071649,0.071321,0.093552,0.089503,nan,nan,0.107809,0.058431,0.052966,0.055631,0.048084,nan,nan,0.082349,0.062366,0.084943,0.084801,0.074385,nan,nan,0.031536,0.090953,0.059626,0.008341,0.045874,nan,nan,0.120028,0.065435,0.108265,0.112444,0.117693,nan,nan,0.073012,0.059886,0.077577,0.094488,0.078879,nan,nan,0.067360,0.082853,0.117981
0.028564,0.094464,0.090133,0.072573,0.071104,nan,nan,0.127789,nan,0.078624,0.038889,0.089077,nan,nan,0.064870,0.052584,0.059467,0.040106,0.055099,nan,nan,0.123101,0.090240,0.078182,0.062490,0.050978,nan,nan,0.084490,0.034876,0.055416,0.047164,0.065683,nan,nan,0.101585,0.078803,0.021461,0.031464,0.055997,nan,nan,0.032579,0.089320,0.073976,0.046986,0.090655,nan,nan,0.085179,0.080969,0.112793,0.057171,0.063337,nan,nan,0.103860,0.082372,0.089605,0.090926,0.080621,nan,nan,0.073101,0.049199,0.037737,0.063011,0.063228,nan,nan,0.101426,0.095399,0.080029,0.079895,0.085581,nan,nan,0.073600,0.103068,0.077871,0.053368,0.043859,nan,nan,0.033828,0.046149,0.057479,0.029728,0.028480,nan,nan,0.087963,0.100010,0.032106,0.040099,0.043384,nan,nan,0.043782,0.055176,0.052231,0.097511,0.100876,nan,nan,0.081623,0.058845,0.038798,0.070030,0.016640,nan,nan,0.058347,0.091765,0.057273,0.086639,0.052508,nan,nan,0.052040,0.074673,0.058239,0.041942,0.053970,nan,nan,0.040427,0.036501,0.044922,0.050326,0.057570,nan,nan,0.028265,0.069154,0.042501,0.036690,0.054845,nan,nan,0.153210,0.072688,0.092439,0.072041,0.068418,nan,nan,0.090017,0.046980,0.066337,0.063178,0.067809,nan,nan,0.052864,0.069356,0.076829,0.052038,0.040735,nan,nan,0.036836,0.053594,0.056795,0.063081,0.041670,nan,nan,0.045724,0.033351,0.051547,0.004861,0.020668,nan,nan,0.058095,0.054728,0.105440,0.064169,0.023686,nan,nan,0.070621,0.032900,0.030861,0.035954,0.039607,nan,nan,0.070935,0.063715,0.086007
nan,nan,0.151842,0.178744,0.049505,nan,nan,0.084102,0.100858,0.115127,0.100977,0.253094,nan,nan,0.087057,0.085482,0.146749,0.105149,0.109239,nan,nan,0.115150,0.149830,0.071836,0.079324,0.102592,nan,nan,0.050913,0.009889,0.154908,0.054638,0.017678,nan,nan,0.061846,0.052254,0.097768,0.072683,0.092508,nan,nan,0.030847,0.141353,0.115377,0.113828,0.155870,nan,nan,0.094781,0.094159,0.081222,0.117933,0.160621,nan,nan,0.160924,0.044093,0.109930,0.018418,0.058772,nan,nan,0.043155,0.135759,0.126567,0.109831,0.065226,nan,nan,0.162603,0.129530,0.202786,0.125548,0.111563,nan,nan,0.202882,0.093176,0.037213,0.088921,0.179570,nan,nan,0.161802,0.081945,0.136410,0.057354,0.023351,nan,nan,0.154966,0.077488,0.122708,0.076916,0.061693,nan,nan,0.088339,0.139651,0.072290,0.086161,0.097396,nan,nan,0.147178,0.137764,0.097538,0.071463,0.157285,nan,nan,0.151826,0.102308,0.120867,0.067702,0.156904,nan,nan,0.059999,0.078489,0.113486,0.076277,0.062350,nan,nan,0.139971,0.065995,0.141949,0.076917,0.054685,nan,nan,0.142147,0.107346,0.161733,0.179878,0.073544,nan,nan,0.107302,0.111979,0.142655,0.106168,0.084784,nan,nan,0.188479,0.100124,0.101772,0.139660,0.221708,nan,nan,0.137641,0.215325,0.143101,0.134464,0.118139,nan,nan,0.178623,0.140613,0.218344,0.210043,0.112660,nan,nan,0.164147,0.090941,0.127031,0.036260,0.127766,nan,nan,0.165008,0.181317,0.185109,0.149175,0.178784,nan,nan,0.228616,0.233953,0.107040,0.239334,0.150671,nan,nan,0.112969,0.189103,0.063473
nan,nan,nan,nan,nan,nan,nan,0.081912,0.092537,0.105898,0.090855,0.248459,nan,nan,0.087312,0.064712,0.151175,0.105955,0.111790,nan,nan,0.111448,0.146649,0.070040,0.079192,0.107021,nan,nan,0.051055,0.009901,0.150804,0.057104,0.015670,nan,nan,0.060679,0.045810,0.097507,0.073983,0.088291,nan,nan,0.030900,0.138838,0.117114,0.116530,0.157809,nan,nan,0.093512,0.096915,0.098530,0.111315,0.152182,nan,nan,0.173905,0.045082,0.103917,0.022861,0.094743,nan,nan,0.046293,0.130132,0.155165,0.092094,0.057610,nan,nan,0.160333,0.127989,0.169617,0.124245,0.130012,nan,nan,0.179552,0.107714,0.037212,0.100501,0.163421,nan,nan,0.117411,0.086303,0.137992,0.054517,0.026473,nan,nan,0.158348,0.079559,0.109449,0.078429,0.062445,nan,nan,0.074219,0.157339,0.068204,0.078984,0.086020,nan,nan,0.143514,0.128199,0.102469,0.071013,0.153512,nan,nan,0.151809,0.094227,0.105948,0.070884,0.158897,nan,nan,0.053367,0.079607,0.111773,0.069768,0.060446,nan,nan,0.137959,0.068014,0.142802,0.064028,0.057946,nan,nan,0.148175,0.104265,0.133821,0.176075,0.066177,nan,nan,0.090135,0.108275,0.139794,0.104499,0.108771,nan,nan,0.191061,0.110114,0.097119,0.149335,0.186964,nan,nan,0.130122,0.216434,0.135778,0.142988,0.088969,nan,nan,0.185487,0.134685,0.157625,0.205311,0.113941,nan,nan,0.203889,0.085073,0.129014,0.037887,0.131208,nan,nan,0.156613,0.166638,0.187743,0.156411,0.160180,nan,nan,0.231034,0.239293,0.117774,0.262735,0.161535,nan,nan,0.112402,0.193621,0.072097
nan,nan,nan,nan,nan,nan,nan,nan,nan,0.219852,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.121094,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.192025,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.018036,nan,nan,nan,nan,nan,nan,nan,0.227566,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.008964,0.053309,0.043305,0.016603,0.012473,nan,nan,0.013780,0.113343,0.024189,0.051170,0.006613,nan,nan,0.029717,0.082388,0.046145,0.066891,0.008094,nan,nan,0.031956,0.118022,0.030764,0.036229,0.029463,nan,nan,nan,0.028372,0.130763,0.019287,0.023320,nan,nan,nan,0.058245,0.024475,0.009361,0.037279,nan,nan,0.004819,0.041178,0.016191,0.052327,0.014707,nan,nan,0.028353,nan,0.016052,0.018490,0.033632,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.030379,0.044038,0.041233,0.040934,0.030830,nan,nan,0.038304,nan,nan,nan,nan,nan,nan,nan,0.043046,0.032236,0.062972,0.040259,nan,nan,0.027051,0.108469,0.088501
0.039277,nan,0.007178,0.012366,0.026543,nan,nan,0.016940,nan,0.005458,0.008091,0.008080,nan,nan,0.026262,0.020259,0.014678,0.013435,0.007334,nan,nan,0.017139,0.010294,0.019010,0.016061,0.015384,nan,nan,0.042443,0.024134,0.009785,0.014300,0.010297,nan,nan,0.041792,0.010494,0.066654,0.023023,0.039808,nan,nan,0.035175,0.021356,0.003713,0.021318,0.034394,nan,nan,0.041223,0.017461,0.044657,0.044433,0.026117,nan,nan,0.025322,0.038965,0.025220,0.044470,0.059330,nan,nan,0.036178,0.036475,0.027752,0.015314,0.037587,nan,nan,0.027090,0.015873,0.021929,0.003962,0.006388,nan,nan,0.010632,0.012169,0.015408,0.033543,0.026018,nan,nan,0.018048,0.043472,0.021177,0.019008,0.009533,nan,nan,0.009651,0.015243,0.062092,0.018103,0.021406,nan,nan,0.044516,0.024017,0.019444,0.021294,0.014491,nan,nan,0.020799,0.012880,0.016222,0.015216,0.058673,nan,nan,0.008132,0.016519,0.033842,0.025131,0.014798,nan,nan,0.015973,0.005438,0.009600,0.023388,0.008336,nan,nan,0.011326,0.007303,0.009842,0.010900,0.008273,nan,nan,0.025436,0.023836,0.008637,0.009976,0.012669,nan,nan,0.070549,0.029798,0.015418,0.028055,0.016346,nan,nan,0.012844,0.008171,0.022127,0.014165,0.020370,nan,nan,0.032776,0.008858,0.035215,0.010311,0.014522,nan,nan,0.052051,0.009996,0.004865,0.103569,0.013723,nan,nan,0.027279,0.018110,0.011800,0.015885,0.011192,nan,nan,0.014449,0.008815,0.026293,0.012811,0.009599,nan,nan,0.005056,0.020635,0.076834,0.006084,0.019008,nan,nan,0.010436,0.021736,0.037422
