"","station_id","date","sinclair2017","post","affiliation","weekday","callsign","national_politics"
"69",4110,"10/19/2017",1,1,"ABC","Thu","KAEF",0.0599834207142857
"70",4110,"10/26/2017",1,1,"ABC","Thu","KAEF",0.197109344142857
"71",4110,"10/5/2017",1,1,"ABC","Thu","KAEF",0.148375596956522
"72",4110,"11/16/2017",1,1,"ABC","Thu","KAEF",0.118513400144928
"73",4110,"11/2/2017",1,1,"ABC","Thu","KAEF",0.140325801323529
"74",4110,"11/23/2017",1,1,"ABC","Thu","KAEF",0.128919182535211
"75",4110,"11/30/2017",1,1,"ABC","Thu","KAEF",0.176792654637681
"76",4110,"11/9/2017",1,1,"ABC","Thu","KAEF",0.10853634943662
"77",4110,"12/7/2017",1,1,"ABC","Thu","KAEF",0.126944542394366
"78",4110,"9/14/2017",1,1,"ABC","Thu","KAEF",0.122999517142857
"79",4110,"9/21/2017",1,1,"ABC","Thu","KAEF",0.0916608591428571
"80",4110,"9/28/2017",1,1,"ABC","Thu","KAEF",0.138049864285714
"81",4110,"9/7/2017",1,1,"ABC","Thu","KAEF",0.084433886
"82",4110,"6/13/2017",1,0,"ABC","Tue","KAEF",0.179634422394366
"83",4110,"6/20/2017",1,0,"ABC","Tue","KAEF",0.131295334117647
"84",4110,"6/27/2017",1,0,"ABC","Tue","KAEF",0.162396003571429
"85",4110,"7/11/2017",1,0,"ABC","Tue","KAEF",0.0482302116176471
"86",4110,"7/18/2017",1,0,"ABC","Tue","KAEF",0.0919573572058824
"87",4110,"7/25/2017",1,0,"ABC","Tue","KAEF",0.134778102957746
"88",4110,"7/4/2017",1,0,"ABC","Tue","KAEF",0.0663082556716418
"89",4110,"8/1/2017",1,0,"ABC","Tue","KAEF",0.0607998152941176
"90",4110,"8/15/2017",1,0,"ABC","Tue","KAEF",0.197857475072464
"91",4110,"8/22/2017",1,0,"ABC","Tue","KAEF",0.153871503623188
"92",4110,"8/29/2017",1,0,"ABC","Tue","KAEF",0.0903145787323944
"93",4110,"8/8/2017",1,0,"ABC","Tue","KAEF",0.0958858154411765
"94",4110,"10/10/2017",1,1,"ABC","Tue","KAEF",0.0290715711764706
"95",4110,"10/17/2017",1,1,"ABC","Tue","KAEF",0.0967913223880597
"96",4110,"10/24/2017",1,1,"ABC","Tue","KAEF",0.096533495
"97",4110,"10/3/2017",1,1,"ABC","Tue","KAEF",0.114559049117647
"98",4110,"10/31/2017",1,1,"ABC","Tue","KAEF",0.134022679852941
"99",4110,"11/14/2017",1,1,"ABC","Tue","KAEF",0.180924585942029
"100",4110,"11/21/2017",1,1,"ABC","Tue","KAEF",0.140787621285714
"101",4110,"11/28/2017",1,1,"ABC","Tue","KAEF",0.16015564
"102",4110,"11/7/2017",1,1,"ABC","Tue","KAEF",0.166405193617021
"103",4110,"12/12/2017",1,1,"ABC","Tue","KAEF",0.156023711014493
"104",4110,"12/5/2017",1,1,"ABC","Tue","KAEF",0.137620948358209
"105",4110,"9/12/2017",1,1,"ABC","Tue","KAEF",0.0959528027536232
"106",4110,"9/19/2017",1,1,"ABC","Tue","KAEF",0.145522060294118
"107",4110,"9/26/2017",1,1,"ABC","Tue","KAEF",0.150173071571429
"108",4110,"9/5/2017",1,1,"ABC","Tue","KAEF",0.160560076619718
"109",4110,"6/14/2017",1,0,"ABC","Wed","KAEF",0.182429153428571
"110",4110,"6/21/2017",1,0,"ABC","Wed","KAEF",0.129920657101449
"111",4110,"6/28/2017",1,0,"ABC","Wed","KAEF",0.123954382463768
"112",4110,"7/12/2017",1,0,"ABC","Wed","KAEF",0.101873109393939
"113",4110,"7/19/2017",1,0,"ABC","Wed","KAEF",0.101048408939394
"114",4110,"7/26/2017",1,0,"ABC","Wed","KAEF",0.116600307571429
"115",4110,"7/5/2017",1,0,"ABC","Wed","KAEF",0.0993573181428571
"116",4110,"8/16/2017",1,0,"ABC","Wed","KAEF",0.162584605671642
"117",4110,"8/2/2017",1,0,"ABC","Wed","KAEF",0.0833845987323944
"118",4110,"8/23/2017",1,0,"ABC","Wed","KAEF",0.120823115797101
"119",4110,"8/30/2017",1,0,"ABC","Wed","KAEF",0.0697227164705882
"120",4110,"8/9/2017",1,0,"ABC","Wed","KAEF",0.0947503376811594
"121",4110,"10/11/2017",1,1,"ABC","Wed","KAEF",0.0952005297183099
"122",4110,"10/18/2017",1,1,"ABC","Wed","KAEF",0.0892317642857143
"123",4110,"10/25/2017",1,1,"ABC","Wed","KAEF",0.138466362957746
"124",4110,"10/4/2017",1,1,"ABC","Wed","KAEF",0.0982682795588235
"125",4110,"11/1/2017",1,1,"ABC","Wed","KAEF",0.136064573650794
"126",4110,"11/15/2017",1,1,"ABC","Wed","KAEF",0.100805313676471
"127",4110,"11/22/2017",1,1,"ABC","Wed","KAEF",0.0988016592857143
"128",4110,"11/29/2017",1,1,"ABC","Wed","KAEF",0.263654225223881
"129",4110,"11/8/2017",1,1,"ABC","Wed","KAEF",0.161051669275362
"130",4110,"12/13/2017",1,1,"ABC","Wed","KAEF",0.19623043
"131",4110,"12/6/2017",1,1,"ABC","Wed","KAEF",0.144386232318841
"132",4110,"9/13/2017",1,1,"ABC","Wed","KAEF",0.180321475857143
